Name,URL,Description,,
Appsumo,https://bit.ly/APPSUMOTOOL,Find ridiculously cheap discounts on the best software tools online!,,
Beacons,https://bit.ly/BEACONSTOOL,Another great link in bio tool that I've used for years and love,,
Local Viking,https://bit.ly/LOCALVIKING,A great tool to help you rank higher locally on Google Maps for your business,,
Render Forest,https://bit.ly/RENDERFORESTTOOL,"High quality videos, animations, mockups, logos, presentations, SMM graphics, and a professional website.",,
wave.video,https://bit.ly/WAVEVIDEO,"Live Streaming Studio, Video Editor, Thumbnail Maker, Video Hosting, Video Recording, and Stock Library combined in one platform.",,
sirlinksalot,https://bit.ly/SIRLINKSALOT,Need backlinks for your website? This is a link building service that I trust and have used for years. You can get all different types of links to boost your domain authority and rank higher on Google!,,
Hype Fury,https://bit.ly/HYPEFURY,Automate your Twitter growth with this really cool Twitter tool!,,
Descript,https://bit.ly/DESCRIPTTOOL,"All-in-one audio & video editing, as easy as a doc. This tool is a MUST if you make videos or podcasts!",,
alternativeto,https://alternativeto.net,Find alternative websites and software to basically any tool that you want to use,,
wolframalpha,https://www.wolframalpha.com/,Machine learning calculator that can process incredible amounts of data,,
Mailchimp,https://bit.ly/MAILCHIMPTOOL,"My preferred email newsletter tool! I use mailchimp to host my email list, and send automated email drip campaigns. If you're building an email list, I definitely recommend this!",,
Prompt Genie,https://bit.ly/promptgenietool,Find the best ChatGPT prompts in any industry to get better results!,,
Magic Eraser,https://www.magiceraser.io/,Erase background and annoying objects from photos for free!,,
Hunter,hunter.io,This tool lets you find email addresses from any website!,,
Feed Blitz,https://www.feedblitz.com/,This tool automatically turns your blogs into emails for your subscriber list,,
Muscle Wiki,https://musclewiki.com/,"Select any body part, and it will show you workouts and demonstrations for how you can work out that part of your body",,
My Fridge Food,https://myfridgefood.com/,This tool let's you search for recipes based on the food items you have in your fridge,,
cymath,https://www.cymath.com/,A really detailed and helpful calculator that breaks down math problems step by step for you!,,
Smmry,https://smmry.com/,Paste an article in here and it will sumarize it for you!,,
Remove BG,https://remove.bg,It removes the background from any image so that it's just the object of focus. I love using this tool for YouTube thumbnails!,,
Retail Me Not,https://retailmenot.com,Find coupons and the cheapest prices for anything you want to shop for online,,
Photopea,https://www.photopea.com/,"An online and completely free, browser based photo editor. It has similar features and tools like Photoshop.",,
Cheatography,https://cheatography.com/,"Over 5,000 Free Cheat Sheets, Revision Aids and Quick References! There are cheat sheets for all topics like programming, math, business, marketing, and so much more!",,
Slides Carnival,https://www.slidescarnival.com/,SlidesCarnival powerpoint and Google slide templates have all the elements you need to effectively communicate your message and impress your audience.,,
PDF Escape,pdfescape.com,"Let's you view, edit, fill out, and password protect PDF files for free online.",,
Panzoid,panzoid.com,"A free tool to create epic YouTube intro's. There's a little bit of a learning curve, but this is by far the most useful custom free way to create an amazing Youtube intro for your channel!",,
Snap Drop,https://snapdrop.net/,"napDrop is a super-easy way to send files or data between your devices, and it works with anything, from PDF files to photos and videos.",,
Natural Readers,https://www.naturalreaders.com/,"Powerful Text-to-Speech for at home, work, or on the go. Upload text and documents or convert to mp3 to listen to anywhere anytime.",,
Vocal Remover,https://vocalremover.com,This website let's you remove the vocals from music so you're left with either one!,,
Answer The Public,answerthepublic.com,"Answer The Public let's you type in whatever industry that you're in and it will give you content ideas based on questions, prepositions, comparisons, and tons more! This will help you get unlimited content ideas!",,
Synthesia,https://bit.ly/SYNTHESIA,Synthesia is a web-based platform for creating videos with AI avatars and voices. Thousands of companies use it to create videos at scale,,
Import Yeti,https://www.importyeti.com/,"Find the product suppliers of any large eccommerce website! If you're in the Ecomm space, this website is incredibly useful!",,
Omni Calculator,https://www.omnicalculator.com/,"Over 2900 free calculators in many topics like math, biology, chemistry, finance, business, and so many more!",,
Answer Socrates,www.answersocrates.com,"Similar to Answer the public, Answer Socrates let's you type in whatever industry that you're in and it will give you content ideas based on questions, prepositions, comparisons, and tons more! This will help you get unlimited content ideas!",,
My Fonts,https://www.myfonts.com/WhatTheFont/,Upload images to identify the fonts so that you can use them for yourself!,,
Hemingway App,https://hemingwayapp.com/,"Hemingway App makes your writing bold and clear. It provides you with grammar, punctuation notes, as well as the level of readability",,
Quiverquant,https://www.quiverquant.com/,A next-generation stock research platform for retail investors.,,
Edx,https://www.edx.org/,"Thousands of online video courses with certifications from top universities. Many are free, some are paid.",,
Name Chk,https://namechk.com/,Check to see if your username is available on all online platforms before you register it.,,
Account Killer,https://www.accountkiller.com/en/home,This let's you delete and shutdown all of your online accounts from one website.,,
Prepost SEO,https://www.prepostseo.com/,A collection of over 95 free SEO tools to help you improve your website!,,
Wifi Map,https://www.wifimap.io,Let's you find free open wifi anywhere in the world! Plan ahead your next travel destination with this tool.,,
Yandex,https://www.yandex.com/images,,,
Get Human,https://www.gethuman.com,,,
Gusto,gusto.com,,,
Class Central,https://www.classcentral.com/report/free-certificates/,,,
Capitol Trades,https://www.capitoltrades.com/,,,
Tiny Wow,https://www.tinywow.com,,,
Social Blade,socialblade.com,,,
I fix it,https://www.ifixit.com/,,,
Copykat,https://copykat.com/,,,
Insta Finsta,instafinsta.com,,,
Black Magic Design,https://www.blackmagicdesign.com/,,,
Marketing Examples,marketingexamples.com,,,
Noba Project,Nobaproject.com,,,
Looka,looka.com,,,
Brave Browser,brave.com,,,
Task Rabbit,taskrabbit.com,,,
Axiom,axiom.ai,,,
Go Last Minute,golastminute.com,,,
Scholarships,scholarships.com,,,
Quora,Quora.com,,,
Toffee Share,toffeeshare.com,,,
Trello,Trello.com,,,
Call Tracking Metrics,calltrackingmetrics.com,,,
Grow With Google,grow.google,,,
Promo,promo.com/tools/image-resizer,,,
Carrd.co,carrd.co,,,
Upwork,Upwork.com,,,
Legiit,legiit.com,,,
Tin Eye,tineye.com,,,
Archive,archive.org,,,
Zapier,Zapier.com,,,
Hack The Menu,hackthemenu.com,,,
Built With,builtwith.com,,,
Spyfu,spyfu.com,,,
Similar Web,similarweb.com,,,
Live Chat,livechat.com,,,
Resume Maker,resumemaker.online,,,
Down for everyone or just me,downforeveryoneorjustme.com,,,
Duck Duck Go,duckduckgo.com,,,
You search engine,you.com,,,
Air horn,airhorner.com,,,
Small PDF,smallpdf.com,,,
Google My Activity,myactivity.google.com,,,
Flick,flick.tech,,,
Flodesk,flodesk.com,,,
Reverso,documents.reverso.net,,,
Flippa,flippa.com,,,
Ninja Essays,https://www.ninjaessays.com/,,,
Sleepy Time,http://sleepyti.me/,,,
Compressor io,www.compressor.io,,,
Icons 8,https://icons8.com/upscaler,,,
Startups FYI,https://www.startups.fyi/,,,
Vector Wiki,https://www.vectorwiki.com,,,
Midomi,https://www.midomi.com,,,
Build AI,https://www.buildai.space/,,,
Kartiv,https://www.kartiv.com/,,,
Ideas AI,https://ideasai.com/,,,
Media IO,https://www.media.io/,,,
Go File,https://gofile.io/,,,
Get Yarn,https://getyarn.io/,,,
Watermark remover,https://www.watermarkremover.io/,,,
Zoom backgrounds,https://zoomscape.ai/,,,
Free audio enhancer,https://podcast.adobe.com/enhance,,,
Chef GPT,https://www.chefgpt.xyz/,,,
My Character,https://mycharacter.ai/,,,
,,,,
,,,*Disclaimer: Some of these links are affiliate links.,
